<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,110000,2595.0000000,2630.0000000,2595.0000000,2630.0000000,275
20180103,120000,2630.0000000,2635.0000000,2545.0000000,2610.0000000,528
20180103,130000,2625.0000000,2625.0000000,2615.0000000,2625.0000000,63
20180103,140000,2615.0000000,2625.0000000,2615.0000000,2625.0000000,152
20180103,150000,2625.0000000,2630.0000000,2620.0000000,2620.0000000,163
20180103,160000,2620.0000000,2630.0000000,2620.0000000,2630.0000000,255
20180103,170000,2625.0000000,2630.0000000,2620.0000000,2625.0000000,497
20180103,180000,2625.0000000,2630.0000000,2625.0000000,2630.0000000,71
20180103,190000,2630.0000000,2635.0000000,2630.0000000,2635.0000000,94
20180104,110000,2630.0000000,2640.0000000,2625.0000000,2640.0000000,176
20180104,120000,2640.0000000,2640.0000000,2640.0000000,2640.0000000,65
20180104,130000,2635.0000000,2640.0000000,2630.0000000,2635.0000000,163
20180104,140000,2635.0000000,2640.0000000,2630.0000000,2640.0000000,95
20180104,150000,2635.0000000,2640.0000000,2625.0000000,2640.0000000,72
20180104,160000,2635.0000000,2640.0000000,2625.0000000,2630.0000000,91
20180104,170000,2630.0000000,2640.0000000,2625.0000000,2640.0000000,72
20180104,180000,2635.0000000,2640.0000000,2635.0000000,2640.0000000,488
20180104,190000,2650.0000000,2655.0000000,2650.0000000,2655.0000000,109
20180105,110000,2630.0000000,2635.0000000,2625.0000000,2635.0000000,67
20180105,120000,2635.0000000,2635.0000000,2635.0000000,2635.0000000,18
20180105,130000,2635.0000000,2640.0000000,2630.0000000,2640.0000000,204
20180105,140000,2635.0000000,2640.0000000,2635.0000000,2635.0000000,106
20180105,150000,2640.0000000,2640.0000000,2635.0000000,2640.0000000,230
20180105,160000,2635.0000000,2640.0000000,2630.0000000,2635.0000000,68
20180105,170000,2640.0000000,2645.0000000,2635.0000000,2635.0000000,393
20180105,180000,2630.0000000,2645.0000000,2630.0000000,2640.0000000,120
20180105,190000,2645.0000000,2645.0000000,2630.0000000,2640.0000000,458
20180109,110000,2670.0000000,2685.0000000,2665.0000000,2680.0000000,484
20180109,120000,2685.0000000,2685.0000000,2670.0000000,2685.0000000,415
20180109,130000,2685.0000000,2685.0000000,2670.0000000,2680.0000000,257
20180109,140000,2680.0000000,2680.0000000,2665.0000000,2665.0000000,321
20180109,150000,2675.0000000,2675.0000000,2665.0000000,2670.0000000,137
20180109,160000,2670.0000000,2675.0000000,2665.0000000,2670.0000000,164
20180109,170000,2680.0000000,2680.0000000,2665.0000000,2675.0000000,172
20180109,180000,2680.0000000,2685.0000000,2675.0000000,2675.0000000,239
20180109,190000,2670.0000000,2675.0000000,2670.0000000,2670.0000000,115
20180110,110000,2680.0000000,2680.0000000,2670.0000000,2680.0000000,206
20180110,120000,2675.0000000,2675.0000000,2665.0000000,2675.0000000,380
20180110,130000,2670.0000000,2675.0000000,2665.0000000,2670.0000000,157
20180110,140000,2670.0000000,2680.0000000,2670.0000000,2675.0000000,191
20180110,150000,2675.0000000,2675.0000000,2665.0000000,2670.0000000,335
20180110,160000,2670.0000000,2675.0000000,2665.0000000,2675.0000000,132
20180110,170000,2675.0000000,2675.0000000,2670.0000000,2675.0000000,147
20180110,180000,2675.0000000,2675.0000000,2660.0000000,2660.0000000,148
20180110,190000,2660.0000000,2665.0000000,2655.0000000,2665.0000000,214
20180111,110000,2660.0000000,2665.0000000,2655.0000000,2665.0000000,132
20180111,120000,2665.0000000,2665.0000000,2655.0000000,2655.0000000,121
20180111,130000,2655.0000000,2665.0000000,2650.0000000,2650.0000000,206
20180111,140000,2655.0000000,2660.0000000,2650.0000000,2650.0000000,342
20180111,150000,2650.0000000,2665.0000000,2650.0000000,2665.0000000,71
20180111,160000,2665.0000000,2670.0000000,2655.0000000,2660.0000000,204
20180111,170000,2660.0000000,2665.0000000,2650.0000000,2660.0000000,118
20180111,180000,2660.0000000,2660.0000000,2650.0000000,2650.0000000,311
20180111,190000,2650.0000000,2650.0000000,2645.0000000,2650.0000000,217
20180112,110000,2655.0000000,2675.0000000,2655.0000000,2675.0000000,63
20180112,120000,2675.0000000,2680.0000000,2660.0000000,2675.0000000,190
20180112,130000,2665.0000000,2675.0000000,2665.0000000,2670.0000000,333
20180112,140000,2670.0000000,2670.0000000,2665.0000000,2670.0000000,314
20180112,150000,2670.0000000,2675.0000000,2665.0000000,2670.0000000,85
20180112,160000,2670.0000000,2680.0000000,2670.0000000,2680.0000000,99
20180112,170000,2680.0000000,2680.0000000,2665.0000000,2675.0000000,55
20180112,180000,2670.0000000,2680.0000000,2665.0000000,2665.0000000,281
20180112,190000,2680.0000000,2680.0000000,2670.0000000,2680.0000000,93
20180115,110000,2650.0000000,2660.0000000,2635.0000000,2650.0000000,513
20180115,120000,2640.0000000,2650.0000000,2635.0000000,2640.0000000,194
20180115,130000,2640.0000000,2645.0000000,2630.0000000,2635.0000000,122
20180115,140000,2645.0000000,2645.0000000,2635.0000000,2645.0000000,104
20180115,150000,2645.0000000,2650.0000000,2645.0000000,2650.0000000,295
20180115,160000,2640.0000000,2650.0000000,2640.0000000,2650.0000000,237
20180115,170000,2650.0000000,2650.0000000,2640.0000000,2650.0000000,238
20180115,180000,2650.0000000,2650.0000000,2640.0000000,2645.0000000,243
20180115,190000,2645.0000000,2650.0000000,2640.0000000,2645.0000000,170
20180116,110000,2670.0000000,2685.0000000,2670.0000000,2685.0000000,802
20180116,120000,2685.0000000,2690.0000000,2675.0000000,2675.0000000,208
20180116,130000,2680.0000000,2690.0000000,2675.0000000,2675.0000000,187
20180116,140000,2675.0000000,2690.0000000,2675.0000000,2680.0000000,355
20180116,150000,2685.0000000,2690.0000000,2680.0000000,2690.0000000,156
20180116,160000,2690.0000000,2690.0000000,2675.0000000,2690.0000000,394
20180116,170000,2680.0000000,2690.0000000,2680.0000000,2690.0000000,87
20180116,180000,2690.0000000,2700.0000000,2680.0000000,2695.0000000,595
20180116,190000,2695.0000000,2700.0000000,2690.0000000,2695.0000000,166
20180117,110000,2690.0000000,2690.0000000,2675.0000000,2680.0000000,158
20180117,120000,2680.0000000,2700.0000000,2680.0000000,2695.0000000,396
20180117,130000,2690.0000000,2695.0000000,2685.0000000,2685.0000000,154
20180117,140000,2690.0000000,2705.0000000,2685.0000000,2705.0000000,338
20180117,150000,2705.0000000,2705.0000000,2695.0000000,2705.0000000,109
20180117,160000,2705.0000000,2715.0000000,2700.0000000,2715.0000000,142
20180117,170000,2705.0000000,2715.0000000,2700.0000000,2715.0000000,370
20180117,180000,2715.0000000,2715.0000000,2700.0000000,2705.0000000,212
20180117,190000,2705.0000000,2710.0000000,2700.0000000,2700.0000000,284
20180118,110000,2710.0000000,2720.0000000,2705.0000000,2720.0000000,518
20180118,120000,2715.0000000,2720.0000000,2710.0000000,2710.0000000,210
20180118,130000,2715.0000000,2715.0000000,2705.0000000,2710.0000000,143
20180118,140000,2710.0000000,2715.0000000,2705.0000000,2715.0000000,202
20180118,150000,2715.0000000,2720.0000000,2705.0000000,2710.0000000,162
