<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,110000,531.0000000,531.0000000,529.5000000,529.5000000,104
20180103,120000,529.5000000,530.0000000,527.5000000,527.5000000,631
20180103,130000,529.0000000,529.5000000,529.0000000,529.5000000,76
20180103,140000,529.0000000,530.0000000,528.5000000,528.5000000,327
20180103,150000,528.5000000,528.5000000,528.5000000,528.5000000,271
20180103,160000,529.0000000,530.5000000,529.0000000,530.5000000,21
20180103,170000,530.5000000,530.5000000,530.5000000,530.5000000,2185
20180103,180000,530.0000000,530.0000000,529.5000000,529.5000000,129
20180103,190000,529.5000000,529.5000000,528.5000000,529.0000000,596
20180104,110000,526.0000000,526.0000000,524.0000000,525.5000000,180
20180104,120000,525.5000000,527.0000000,525.5000000,526.0000000,84
20180104,130000,526.0000000,527.0000000,525.0000000,525.5000000,256
20180104,140000,525.5000000,527.0000000,525.0000000,525.0000000,146
20180104,150000,525.5000000,526.0000000,525.0000000,526.0000000,156
20180104,160000,526.0000000,526.0000000,525.5000000,525.5000000,27
20180104,170000,525.5000000,527.5000000,525.0000000,527.0000000,437
20180104,180000,527.0000000,527.0000000,526.0000000,526.5000000,94
20180104,190000,526.5000000,527.0000000,526.5000000,527.0000000,109
20180105,110000,527.0000000,528.0000000,526.0000000,528.0000000,372
20180105,120000,528.0000000,528.0000000,526.5000000,527.0000000,32
20180105,130000,527.0000000,527.0000000,525.5000000,526.5000000,512
20180105,140000,526.5000000,527.0000000,526.5000000,526.5000000,46
20180105,150000,526.5000000,527.0000000,526.5000000,526.5000000,372
20180105,160000,527.0000000,527.0000000,526.5000000,527.0000000,19
20180105,170000,527.0000000,529.0000000,527.0000000,529.0000000,255
20180105,180000,529.0000000,529.0000000,527.0000000,527.5000000,99
20180105,190000,527.0000000,527.5000000,526.0000000,526.0000000,204
20180109,110000,528.0000000,528.0000000,526.0000000,526.0000000,294
20180109,120000,527.0000000,528.0000000,526.0000000,526.0000000,366
20180109,130000,527.5000000,527.5000000,525.5000000,527.0000000,864
20180109,140000,527.0000000,527.5000000,526.5000000,527.0000000,333
20180109,150000,526.0000000,527.0000000,525.5000000,525.5000000,1594
20180109,160000,526.5000000,527.0000000,525.5000000,525.5000000,80
20180109,170000,525.5000000,526.5000000,524.5000000,524.5000000,703
20180109,180000,525.0000000,526.5000000,524.0000000,525.0000000,314
20180109,190000,524.5000000,525.5000000,524.0000000,525.5000000,496
20180110,110000,521.0000000,522.5000000,521.0000000,522.5000000,165
20180110,120000,523.0000000,524.5000000,523.0000000,524.5000000,248
20180110,130000,524.5000000,526.0000000,523.5000000,526.0000000,22
20180110,140000,526.0000000,526.0000000,525.0000000,526.0000000,3312
20180110,150000,526.0000000,530.0000000,525.5000000,529.0000000,1993
20180110,160000,529.0000000,530.0000000,529.0000000,529.0000000,1664
20180110,170000,527.5000000,527.5000000,526.5000000,526.5000000,16
20180110,180000,527.5000000,528.5000000,526.0000000,526.0000000,1022
20180110,190000,526.0000000,528.0000000,526.0000000,527.5000000,1366
20180111,110000,527.5000000,527.5000000,526.5000000,527.0000000,1061
20180111,120000,526.5000000,527.0000000,526.0000000,527.0000000,1330
20180111,130000,527.0000000,527.0000000,526.5000000,527.0000000,891
20180111,140000,527.5000000,528.0000000,527.5000000,527.5000000,46
20180111,150000,528.0000000,528.0000000,527.0000000,528.0000000,233
20180111,160000,527.5000000,528.0000000,526.5000000,527.0000000,177
20180111,170000,528.0000000,528.0000000,526.5000000,527.5000000,458
20180111,180000,527.0000000,528.0000000,527.0000000,527.5000000,1000
20180111,190000,527.0000000,528.0000000,526.0000000,526.0000000,352
20180112,110000,527.0000000,528.0000000,526.0000000,528.0000000,21442
20180112,120000,528.5000000,528.5000000,527.5000000,528.5000000,364
20180112,130000,528.5000000,528.5000000,528.0000000,528.5000000,31379
20180112,140000,528.0000000,528.5000000,528.0000000,528.0000000,122
20180112,150000,528.5000000,528.5000000,528.0000000,528.5000000,118
20180112,160000,528.5000000,528.5000000,528.0000000,528.0000000,117
20180112,170000,528.5000000,530.5000000,528.0000000,530.5000000,12768
20180112,180000,530.0000000,532.0000000,530.0000000,530.5000000,9078
20180112,190000,531.0000000,531.5000000,530.0000000,531.0000000,329
20180115,110000,533.0000000,534.0000000,530.0000000,532.0000000,6234
20180115,120000,532.0000000,533.5000000,532.0000000,533.0000000,189
20180115,130000,533.0000000,533.5000000,532.5000000,533.0000000,147
20180115,140000,533.0000000,534.0000000,533.0000000,534.0000000,26
20180115,150000,534.0000000,534.5000000,533.0000000,534.5000000,116
20180115,160000,533.5000000,534.0000000,533.0000000,533.0000000,274
20180115,170000,533.5000000,534.0000000,533.0000000,534.0000000,289
20180115,180000,534.0000000,534.0000000,533.0000000,533.0000000,1201
20180115,190000,534.0000000,534.0000000,533.0000000,533.0000000,958
20180116,110000,535.0000000,535.0000000,531.5000000,532.0000000,1706
20180116,120000,532.5000000,532.5000000,531.0000000,532.5000000,1796
20180116,130000,531.0000000,532.0000000,529.5000000,529.5000000,253
20180116,140000,531.0000000,531.0000000,530.0000000,530.5000000,677
20180116,150000,530.5000000,531.0000000,530.0000000,531.0000000,43
20180116,160000,531.0000000,532.0000000,531.0000000,532.0000000,415
20180116,170000,532.0000000,532.0000000,531.0000000,531.5000000,105
20180116,180000,531.0000000,531.0000000,530.0000000,530.5000000,5448
20180116,190000,530.5000000,531.0000000,530.0000000,530.0000000,1031
20180117,110000,533.5000000,536.0000000,531.0000000,532.0000000,1924
20180117,120000,532.0000000,532.0000000,531.0000000,532.0000000,305
20180117,130000,531.5000000,532.0000000,531.5000000,532.0000000,634
20180117,140000,532.0000000,533.0000000,532.0000000,532.0000000,3022
20180117,150000,532.0000000,534.5000000,532.0000000,534.0000000,977
20180117,160000,533.0000000,534.0000000,533.0000000,534.0000000,147
20180117,170000,534.5000000,535.0000000,533.0000000,534.5000000,118
20180117,180000,535.0000000,535.0000000,533.5000000,534.0000000,201
20180117,190000,533.5000000,534.5000000,533.0000000,534.0000000,105
20180118,110000,531.5000000,531.5000000,529.0000000,530.5000000,233
20180118,120000,530.5000000,531.0000000,529.5000000,531.0000000,310
20180118,130000,531.0000000,531.0000000,529.0000000,529.0000000,1468
20180118,140000,530.5000000,530.5000000,529.0000000,530.5000000,406
20180118,150000,531.0000000,531.5000000,530.5000000,531.0000000,1033
20180118,160000,530.5000000,530.5000000,529.5000000,529.5000000,802
20180118,170000,530.0000000,530.0000000,529.0000000,529.0000000,4363
20180118,180000,529.5000000,530.0000000,528.5000000,530.0000000,998
20180118,190000,530.0000000,531.0000000,529.0000000,529.0000000,1534
20180119,110000,530.5000000,532.0000000,529.5000000,532.0000000,96
20180119,120000,531.0000000,533.0000000,529.5000000,533.0000000,462
20180119,130000,533.0000000,533.0000000,532.0000000,533.0000000,43
20180119,140000,533.0000000,533.0000000,531.5000000,532.5000000,333
20180119,150000,532.0000000,532.5000000,531.5000000,532.5000000,551
20180119,160000,532.0000000,532.5000000,531.5000000,531.5000000,184
20180119,170000,531.5000000,532.5000000,531.5000000,531.5000000,151
20180119,180000,532.0000000,532.5000000,531.5000000,532.5000000,26
20180119,190000,532.5000000,532.5000000,532.0000000,532.5000000,471
20180122,110000,532.0000000,532.0000000,530.0000000,530.0000000,206
20180122,120000,530.5000000,531.0000000,530.0000000,530.0000000,113
20180122,130000,531.0000000,532.0000000,530.0000000,532.0000000,384
20180122,140000,530.5000000,532.0000000,530.5000000,530.5000000,1087
20180122,150000,531.0000000,532.0000000,530.5000000,531.5000000,211
20180122,160000,531.0000000,531.5000000,530.5000000,531.5000000,465
20180122,170000,532.0000000,532.0000000,531.0000000,531.0000000,384
20180122,180000,532.0000000,532.0000000,531.0000000,532.0000000,74
20180122,190000,531.5000000,532.0000000,531.0000000,531.0000000,38
20180123,110000,530.0000000,532.5000000,530.0000000,531.5000000,1119
20180123,120000,531.5000000,533.0000000,530.5000000,531.0000000,537
20180123,130000,532.5000000,533.0000000,531.0000000,532.5000000,512
20180123,140000,533.0000000,533.0000000,531.5000000,531.5000000,171
20180123,150000,532.0000000,533.0000000,532.0000000,533.0000000,208
20180123,160000,533.0000000,533.0000000,532.0000000,532.0000000,234
20180123,170000,532.5000000,532.5000000,532.0000000,532.0000000,519
20180123,180000,532.0000000,532.0000000,531.0000000,531.0000000,1779
20180123,190000,533.0000000,533.0000000,530.5000000,530.5000000,463
20180124,110000,534.0000000,538.0000000,532.0000000,533.5000000,760
20180124,120000,534.5000000,536.0000000,534.5000000,534.5000000,1543
20180124,130000,535.0000000,536.0000000,534.5000000,536.0000000,1535
20180124,140000,536.0000000,536.0000000,534.5000000,535.5000000,8354
20180124,150000,534.5000000,535.5000000,534.5000000,535.5000000,63
20180124,160000,535.0000000,537.0000000,534.5000000,535.5000000,6789
20180124,170000,536.0000000,537.5000000,535.5000000,537.0000000,516
20180124,180000,537.5000000,537.5000000,536.0000000,536.5000000,554
20180124,190000,538.0000000,538.0000000,536.5000000,537.5000000,14
20180125,110000,538.0000000,538.0000000,536.0000000,536.5000000,1670
20180125,120000,535.5000000,536.0000000,533.5000000,534.5000000,141
20180125,130000,534.5000000,536.0000000,534.5000000,535.5000000,2170
20180125,140000,536.0000000,536.0000000,534.0000000,534.0000000,6116
20180125,150000,535.0000000,535.5000000,535.0000000,535.5000000,387
20180125,160000,535.5000000,538.0000000,534.5000000,538.0000000,942
20180125,170000,534.5000000,536.0000000,534.0000000,534.0000000,2095
20180125,180000,533.5000000,533.5000000,532.0000000,533.0000000,1634
20180125,190000,533.0000000,534.5000000,532.5000000,534.0000000,347
20180126,110000,534.0000000,534.5000000,532.5000000,533.5000000,461
20180126,120000,532.5000000,533.0000000,532.0000000,532.5000000,505
20180126,130000,532.0000000,533.5000000,531.5000000,533.5000000,374
20180126,140000,532.0000000,533.0000000,531.0000000,532.0000000,226
20180126,150000,532.0000000,533.5000000,531.5000000,532.5000000,403
20180126,160000,532.0000000,532.5000000,531.0000000,531.0000000,81
20180126,170000,532.5000000,534.0000000,532.5000000,534.0000000,13
20180126,180000,534.5000000,535.5000000,532.0000000,535.5000000,1369
20180126,190000,535.5000000,535.5000000,533.0000000,535.0000000,179
20180129,110000,534.0000000,535.0000000,532.0000000,534.0000000,341
20180129,120000,534.5000000,534.5000000,533.0000000,533.0000000,139
20180129,130000,532.5000000,533.0000000,532.0000000,533.0000000,870
20180129,140000,532.0000000,533.0000000,532.0000000,532.5000000,981
20180129,150000,532.5000000,533.0000000,532.5000000,533.0000000,1059
20180129,160000,533.0000000,533.0000000,531.5000000,531.5000000,273
20180129,170000,533.0000000,533.0000000,532.5000000,533.0000000,557
20180129,180000,532.5000000,534.0000000,532.0000000,533.0000000,335
20180129,190000,532.5000000,533.5000000,531.5000000,533.5000000,56
20180130,110000,531.0000000,531.0000000,527.0000000,527.5000000,2129
20180130,120000,529.0000000,530.0000000,528.0000000,529.5000000,1071
20180130,130000,529.5000000,530.5000000,528.5000000,530.0000000,173
20180130,140000,529.5000000,529.5000000,528.0000000,529.0000000,211
20180130,150000,529.0000000,529.5000000,528.0000000,529.5000000,797
20180130,160000,529.0000000,529.0000000,528.0000000,529.0000000,234
20180130,170000,528.5000000,529.0000000,528.5000000,529.0000000,38
20180130,180000,529.0000000,531.5000000,528.5000000,531.0000000,696
20180130,190000,532.0000000,532.5000000,528.0000000,531.0000000,871
20180131,110000,530.5000000,531.5000000,529.5000000,529.5000000,318
20180131,120000,530.5000000,530.5000000,529.0000000,530.5000000,361
20180131,130000,530.0000000,531.0000000,530.0000000,530.0000000,129
20180131,140000,531.5000000,531.5000000,531.0000000,531.0000000,104
20180131,150000,531.5000000,531.5000000,530.0000000,530.0000000,30
20180131,160000,530.0000000,530.5000000,529.0000000,529.5000000,884
20180131,170000,531.0000000,531.5000000,529.5000000,531.5000000,1945
20180131,180000,531.5000000,531.5000000,530.0000000,530.0000000,3130
20180131,190000,531.0000000,532.5000000,530.5000000,530.5000000,2691
20180201,110000,529.5000000,531.0000000,529.5000000,529.5000000,840
20180201,120000,529.0000000,529.5000000,526.0000000,528.5000000,1045
20180201,130000,528.5000000,530.0000000,528.5000000,530.0000000,55
20180201,140000,529.5000000,529.5000000,528.5000000,529.5000000,13
20180201,150000,530.5000000,530.5000000,529.0000000,529.0000000,5
20180201,160000,529.0000000,530.0000000,529.0000000,530.0000000,76
20180201,170000,529.5000000,530.0000000,528.5000000,530.0000000,513
20180201,180000,530.5000000,531.0000000,530.0000000,531.0000000,18
20180201,190000,531.0000000,531.0000000,528.5000000,530.0000000,1081
20180202,110000,532.0000000,540.0000000,530.0000000,531.0000000,654
20180202,120000,531.0000000,531.5000000,530.0000000,530.5000000,475
20180202,130000,531.0000000,533.0000000,531.0000000,532.5000000,601
20180202,140000,533.0000000,533.0000000,531.0000000,531.0000000,169
20180202,150000,532.5000000,533.0000000,532.5000000,533.0000000,412
20180202,160000,533.0000000,533.0000000,531.0000000,532.0000000,1666
20180202,170000,531.0000000,531.5000000,529.0000000,530.5000000,1598
20180202,180000,529.0000000,529.5000000,527.5000000,528.5000000,760
20180202,190000,528.0000000,528.5000000,525.5000000,528.5000000,606
20180205,110000,529.0000000,531.5000000,528.0000000,531.5000000,1064
20180205,120000,530.5000000,531.5000000,530.5000000,531.0000000,444
20180205,130000,531.0000000,531.0000000,531.0000000,531.0000000,304
20180205,140000,531.0000000,531.0000000,530.0000000,531.0000000,438
20180205,150000,531.0000000,532.0000000,530.5000000,532.0000000,531
20180205,160000,532.0000000,532.0000000,531.0000000,532.0000000,1619
20180205,170000,532.0000000,533.5000000,531.5000000,533.5000000,16021
20180205,180000,532.5000000,534.0000000,531.5000000,534.0000000,1388
20180205,190000,534.0000000,534.0000000,532.5000000,533.5000000,167
20180206,110000,536.0000000,542.0000000,534.5000000,540.5000000,33412
20180206,120000,540.0000000,540.5000000,536.0000000,538.0000000,2425
20180206,130000,536.5000000,539.0000000,536.0000000,539.0000000,488
20180206,140000,539.5000000,540.5000000,539.0000000,539.5000000,4039
20180206,150000,539.0000000,540.0000000,538.0000000,538.0000000,584
20180206,160000,538.5000000,541.0000000,538.0000000,539.0000000,2195
20180206,170000,538.5000000,539.5000000,537.0000000,538.0000000,436
20180206,180000,537.5000000,537.5000000,530.0000000,530.0000000,3526
20180206,190000,533.5000000,535.0000000,532.5000000,535.0000000,712
20180207,110000,536.0000000,541.0000000,530.0000000,532.0000000,1536
20180207,120000,531.5000000,532.0000000,531.0000000,532.0000000,576
20180207,130000,531.5000000,533.5000000,531.5000000,532.0000000,613
20180207,140000,533.5000000,533.5000000,531.5000000,533.5000000,191
20180207,150000,533.0000000,533.5000000,533.0000000,533.5000000,135
20180207,160000,533.0000000,533.5000000,532.0000000,532.5000000,121
20180207,170000,532.0000000,532.0000000,530.0000000,531.5000000,1303
20180207,180000,532.0000000,532.0000000,530.0000000,530.5000000,1014
20180207,190000,530.5000000,530.5000000,529.0000000,529.5000000,329
20180208,110000,534.0000000,536.0000000,530.0000000,531.0000000,297
20180208,120000,533.0000000,533.0000000,531.5000000,532.5000000,55
20180208,130000,531.0000000,531.5000000,530.0000000,531.5000000,3752
20180208,140000,531.5000000,532.5000000,531.0000000,532.5000000,483
20180208,150000,531.5000000,533.0000000,531.0000000,532.0000000,2722
20180208,160000,533.0000000,533.0000000,532.0000000,532.0000000,167
20180208,170000,533.5000000,533.5000000,532.0000000,533.5000000,281
20180208,180000,533.5000000,533.5000000,532.0000000,533.5000000,23
20180208,190000,534.0000000,535.0000000,533.0000000,535.0000000,455
20180209,110000,536.0000000,541.0000000,536.0000000,538.5000000,1805
20180209,120000,536.0000000,537.5000000,536.0000000,536.5000000,295
20180209,130000,536.5000000,536.5000000,535.5000000,535.5000000,209
20180209,140000,535.5000000,537.0000000,535.0000000,536.0000000,144
20180209,150000,536.0000000,538.0000000,535.0000000,538.0000000,207
20180209,160000,538.0000000,540.0000000,538.0000000,539.5000000,1036
