<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,110000,1927.0000000,1935.0000000,1926.5000000,1935.0000000,55
20180103,130000,1939.5000000,1950.0000000,1939.5000000,1950.0000000,21
20180103,140000,1942.0000000,1942.0000000,1937.5000000,1941.5000000,135
20180103,150000,1943.5000000,1950.0000000,1943.5000000,1950.0000000,2
20180103,170000,1949.0000000,1950.0000000,1945.0000000,1945.0000000,104
20180103,180000,1945.5000000,1947.5000000,1945.0000000,1947.5000000,99
20180103,190000,1948.5000000,1951.0000000,1948.5000000,1950.5000000,27
20180104,110000,1960.5000000,1964.0000000,1960.0000000,1960.0000000,71
20180104,120000,1960.5000000,1974.0000000,1960.0000000,1974.0000000,43
20180104,130000,1974.5000000,1975.0000000,1969.5000000,1975.0000000,30
20180104,140000,1975.0000000,1984.5000000,1974.5000000,1984.5000000,205
20180104,150000,1980.5000000,1984.0000000,1980.0000000,1984.0000000,52
20180104,160000,1983.5000000,1985.0000000,1982.0000000,1983.5000000,55
20180104,170000,1989.5000000,1989.5000000,1989.5000000,1989.5000000,29
20180104,180000,1984.5000000,1994.5000000,1966.5000000,1994.5000000,173
20180104,190000,1992.0000000,1992.0000000,1992.0000000,1992.0000000,1
20180105,110000,1990.5000000,2000.0000000,1988.0000000,1991.5000000,208
20180105,120000,2000.0000000,2000.5000000,1980.0000000,1999.0000000,48
20180105,130000,2000.0000000,2002.0000000,1995.0000000,1995.0000000,260
20180105,140000,1993.0000000,1993.0000000,1992.5000000,1992.5000000,2
20180105,150000,1995.0000000,2008.0000000,1995.0000000,1997.0000000,106
20180105,170000,1999.5000000,2000.5000000,1999.5000000,2000.5000000,87
20180105,180000,1999.0000000,2003.0000000,1997.5000000,2003.0000000,80
20180105,190000,2001.5000000,2004.5000000,2001.5000000,2004.5000000,55
20180109,110000,2001.5000000,2026.0000000,2001.5000000,2018.5000000,100
20180109,120000,2020.0000000,2044.0000000,2020.0000000,2037.5000000,220
20180109,130000,2035.5000000,2036.0000000,2035.5000000,2036.0000000,14
20180109,140000,2039.0000000,2042.5000000,2036.0000000,2037.5000000,220
20180109,150000,2038.5000000,2040.0000000,2031.0000000,2031.5000000,338
20180109,160000,2031.5000000,2035.0000000,2027.0000000,2027.0000000,49
20180109,170000,2028.0000000,2028.0000000,2028.0000000,2028.0000000,1
20180109,180000,2028.0000000,2032.0000000,2028.0000000,2032.0000000,92
20180109,190000,2031.0000000,2044.0000000,2017.0000000,2024.0000000,1536
20180110,110000,2002.0000000,2034.0000000,2001.5000000,2022.5000000,135
20180110,120000,2020.0000000,2029.5000000,2001.0000000,2029.5000000,91
20180110,130000,2029.5000000,2029.5000000,2017.5000000,2020.0000000,70
20180110,140000,2025.0000000,2026.0000000,2020.0000000,2022.5000000,136
20180110,150000,2023.5000000,2023.5000000,2023.0000000,2023.0000000,28
20180110,160000,2022.0000000,2024.0000000,2019.0000000,2024.0000000,264
20180110,170000,2022.0000000,2022.0000000,2022.0000000,2022.0000000,1
20180110,180000,2028.0000000,2030.0000000,2024.0000000,2030.0000000,29
20180110,190000,2030.0000000,2030.0000000,2030.0000000,2030.0000000,11
20180111,110000,2025.5000000,2026.5000000,2024.0000000,2026.5000000,81
20180111,120000,2026.5000000,2033.0000000,2026.5000000,2033.0000000,41
20180111,130000,2034.5000000,2038.5000000,2034.0000000,2038.5000000,941
20180111,140000,2038.0000000,2038.5000000,2038.0000000,2038.5000000,46
20180111,150000,2041.5000000,2041.5000000,2039.5000000,2040.5000000,9
