<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,110000,6430.0000000,6430.0000000,6400.0000000,6400.0000000,9
20180103,120000,6410.0000000,6440.0000000,6400.0000000,6410.0000000,16
20180103,130000,6400.0000000,6400.0000000,6400.0000000,6400.0000000,24
20180103,140000,6410.0000000,6410.0000000,6410.0000000,6410.0000000,3
20180103,150000,6400.0000000,6420.0000000,6400.0000000,6420.0000000,13
20180103,170000,6400.0000000,6430.0000000,6400.0000000,6410.0000000,33
20180103,180000,6400.0000000,6420.0000000,6380.0000000,6420.0000000,38
20180103,190000,6410.0000000,6410.0000000,6410.0000000,6410.0000000,3
20180104,110000,6410.0000000,6410.0000000,6410.0000000,6410.0000000,2
20180104,120000,6410.0000000,6410.0000000,6400.0000000,6400.0000000,3
20180104,130000,6400.0000000,6400.0000000,6390.0000000,6400.0000000,10
20180104,140000,6400.0000000,6400.0000000,6390.0000000,6390.0000000,8
20180104,150000,6390.0000000,6410.0000000,6390.0000000,6400.0000000,8
20180104,160000,6390.0000000,6400.0000000,6390.0000000,6400.0000000,10
20180104,170000,6380.0000000,6380.0000000,6360.0000000,6360.0000000,76
20180104,180000,6400.0000000,6400.0000000,6400.0000000,6400.0000000,7
20180104,190000,6390.0000000,6390.0000000,6390.0000000,6390.0000000,4
20180105,110000,6380.0000000,6380.0000000,6350.0000000,6370.0000000,34
20180105,120000,6360.0000000,6390.0000000,6360.0000000,6390.0000000,98
20180105,130000,6360.0000000,6400.0000000,6350.0000000,6380.0000000,34
20180105,140000,6380.0000000,6380.0000000,6380.0000000,6380.0000000,1
20180105,150000,6380.0000000,6390.0000000,6380.0000000,6390.0000000,15
20180105,160000,6370.0000000,6390.0000000,6360.0000000,6390.0000000,43
20180105,170000,6380.0000000,6380.0000000,6360.0000000,6360.0000000,14
20180105,180000,6380.0000000,6400.0000000,6380.0000000,6390.0000000,47
20180105,190000,6400.0000000,6400.0000000,6370.0000000,6370.0000000,20
20180109,110000,6380.0000000,6380.0000000,6360.0000000,6360.0000000,3
20180109,120000,6360.0000000,6380.0000000,6360.0000000,6380.0000000,20
20180109,130000,6380.0000000,6380.0000000,6360.0000000,6380.0000000,108
20180109,140000,6380.0000000,6380.0000000,6360.0000000,6380.0000000,29
20180109,150000,6380.0000000,6380.0000000,6360.0000000,6360.0000000,196
20180109,160000,6370.0000000,6370.0000000,6370.0000000,6370.0000000,24
20180109,170000,6370.0000000,6380.0000000,6360.0000000,6380.0000000,33
20180109,180000,6380.0000000,6380.0000000,6360.0000000,6360.0000000,24
20180109,190000,6380.0000000,6400.0000000,6380.0000000,6380.0000000,11
20180110,110000,6360.0000000,6380.0000000,6350.0000000,6380.0000000,143
20180110,120000,6350.0000000,6370.0000000,6350.0000000,6350.0000000,77
20180110,130000,6350.0000000,6380.0000000,6350.0000000,6380.0000000,18
20180110,140000,6350.0000000,6380.0000000,6350.0000000,6380.0000000,24
20180110,150000,6380.0000000,6380.0000000,6370.0000000,6370.0000000,25
20180110,160000,6370.0000000,6380.0000000,6370.0000000,6380.0000000,17
20180110,170000,6380.0000000,6380.0000000,6380.0000000,6380.0000000,1
20180110,180000,6370.0000000,6370.0000000,6350.0000000,6350.0000000,63
20180110,190000,6370.0000000,6370.0000000,6370.0000000,6370.0000000,1
20180111,110000,6350.0000000,6380.0000000,6340.0000000,6380.0000000,98
20180111,120000,6370.0000000,6380.0000000,6370.0000000,6380.0000000,4
20180111,130000,6370.0000000,6380.0000000,6370.0000000,6380.0000000,8
20180111,140000,6380.0000000,6380.0000000,6380.0000000,6380.0000000,8
20180111,150000,6380.0000000,6380.0000000,6360.0000000,6380.0000000,63
20180111,160000,6370.0000000,6380.0000000,6370.0000000,6380.0000000,14
20180111,170000,6380.0000000,6380.0000000,6360.0000000,6380.0000000,14
20180111,180000,6370.0000000,6370.0000000,6360.0000000,6360.0000000,64
20180111,190000,6360.0000000,6360.0000000,6350.0000000,6350.0000000,53
20180112,110000,6340.0000000,6350.0000000,6320.0000000,6350.0000000,197
20180112,120000,6350.0000000,6350.0000000,6330.0000000,6330.0000000,42
20180112,130000,6340.0000000,6360.0000000,6320.0000000,6320.0000000,206
20180112,140000,6330.0000000,6330.0000000,6300.0000000,6300.0000000,105
20180112,150000,6340.0000000,6340.0000000,6300.0000000,6310.0000000,36
20180112,160000,6330.0000000,6330.0000000,6330.0000000,6330.0000000,2
20180112,170000,6340.0000000,6350.0000000,6340.0000000,6350.0000000,49
20180112,180000,6350.0000000,6350.0000000,6330.0000000,6340.0000000,80
20180112,190000,6340.0000000,6340.0000000,6330.0000000,6340.0000000,8
20180115,110000,6400.0000000,6400.0000000,6300.0000000,6320.0000000,30
20180115,120000,6320.0000000,6320.0000000,6310.0000000,6310.0000000,19
20180115,130000,6310.0000000,6330.0000000,6310.0000000,6310.0000000,19
20180115,140000,6340.0000000,6340.0000000,6330.0000000,6330.0000000,5
20180115,150000,6330.0000000,6340.0000000,6330.0000000,6340.0000000,4
20180115,160000,6330.0000000,6340.0000000,6320.0000000,6330.0000000,90
20180115,170000,6320.0000000,6350.0000000,6320.0000000,6350.0000000,28
20180115,180000,6330.0000000,6340.0000000,6320.0000000,6340.0000000,95
20180115,190000,6340.0000000,6340.0000000,6330.0000000,6330.0000000,26
20180116,110000,6320.0000000,6340.0000000,6310.0000000,6310.0000000,41
20180116,120000,6330.0000000,6390.0000000,6330.0000000,6340.0000000,42
20180116,130000,6340.0000000,6340.0000000,6340.0000000,6340.0000000,46
20180116,140000,6340.0000000,6340.0000000,6340.0000000,6340.0000000,9
20180116,150000,6350.0000000,6350.0000000,6340.0000000,6350.0000000,19
20180116,160000,6340.0000000,6350.0000000,6340.0000000,6340.0000000,29
20180116,170000,6340.0000000,6350.0000000,6340.0000000,6340.0000000,112
20180116,180000,6340.0000000,6350.0000000,6330.0000000,6330.0000000,54
20180116,190000,6340.0000000,6340.0000000,6330.0000000,6330.0000000,30
20180117,110000,6360.0000000,6360.0000000,6330.0000000,6330.0000000,7
20180117,120000,6350.0000000,6350.0000000,6350.0000000,6350.0000000,20
20180117,140000,6350.0000000,6350.0000000,6350.0000000,6350.0000000,190
20180117,150000,6350.0000000,6350.0000000,6350.0000000,6350.0000000,63
20180117,160000,6340.0000000,6370.0000000,6340.0000000,6370.0000000,5
20180117,170000,6370.0000000,6370.0000000,6360.0000000,6370.0000000,32
20180117,180000,6370.0000000,6370.0000000,6350.0000000,6350.0000000,26
20180117,190000,6350.0000000,6360.0000000,6340.0000000,6360.0000000,16
20180118,110000,6370.0000000,6410.0000000,6350.0000000,6360.0000000,85
20180118,120000,6360.0000000,6360.0000000,6350.0000000,6350.0000000,57
20180118,130000,6360.0000000,6360.0000000,6350.0000000,6350.0000000,38
20180118,140000,6350.0000000,6360.0000000,6350.0000000,6350.0000000,46
20180118,150000,6360.0000000,6360.0000000,6350.0000000,6350.0000000,704
20180118,160000,6350.0000000,6350.0000000,6340.0000000,6340.0000000,19
20180118,170000,6340.0000000,6410.0000000,6330.0000000,6330.0000000,76
20180118,190000,6330.0000000,6330.0000000,6330.0000000,6330.0000000,7
20180119,110000,6310.0000000,6350.0000000,6310.0000000,6350.0000000,28
20180119,120000,6340.0000000,6340.0000000,6330.0000000,6330.0000000,22
20180119,130000,6330.0000000,6330.0000000,6330.0000000,6330.0000000,52
20180119,140000,6330.0000000,6330.0000000,6320.0000000,6330.0000000,35
20180119,150000,6330.0000000,6330.0000000,6320.0000000,6320.0000000,28
20180119,160000,6330.0000000,6330.0000000,6320.0000000,6320.0000000,45
20180119,170000,6320.0000000,6340.0000000,6320.0000000,6340.0000000,70
20180119,180000,6340.0000000,6340.0000000,6330.0000000,6340.0000000,15
20180119,190000,6340.0000000,6340.0000000,6320.0000000,6340.0000000,70
20180122,110000,6350.0000000,6350.0000000,6330.0000000,6330.0000000,34
20180122,120000,6330.0000000,6330.0000000,6320.0000000,6330.0000000,7
20180122,130000,6320.0000000,6330.0000000,6310.0000000,6330.0000000,122
20180122,140000,6330.0000000,6330.0000000,6320.0000000,6320.0000000,25
20180122,150000,6310.0000000,6310.0000000,6310.0000000,6310.0000000,1
20180122,160000,6330.0000000,6330.0000000,6330.0000000,6330.0000000,4
20180122,170000,6320.0000000,6330.0000000,6320.0000000,6330.0000000,41
20180122,180000,6330.0000000,6330.0000000,6280.0000000,6310.0000000,2076
20180122,190000,6310.0000000,6330.0000000,6310.0000000,6330.0000000,10
20180123,110000,6310.0000000,6310.0000000,6270.0000000,6280.0000000,315
20180123,120000,6280.0000000,6300.0000000,6280.0000000,6300.0000000,110
20180123,130000,6300.0000000,6300.0000000,6300.0000000,6300.0000000,84
20180123,140000,6300.0000000,6300.0000000,6290.0000000,6300.0000000,240
20180123,150000,6310.0000000,6320.0000000,6300.0000000,6300.0000000,10
20180123,160000,6310.0000000,6310.0000000,6310.0000000,6310.0000000,1
20180123,170000,6300.0000000,6310.0000000,6300.0000000,6310.0000000,19
20180123,180000,6320.0000000,6330.0000000,6320.0000000,6330.0000000,403
20180124,110000,6320.0000000,6320.0000000,6280.0000000,6310.0000000,1137
20180124,120000,6300.0000000,6320.0000000,6300.0000000,6320.0000000,2
20180124,130000,6300.0000000,6320.0000000,6300.0000000,6310.0000000,32
20180124,140000,6310.0000000,6320.0000000,6310.0000000,6320.0000000,27
20180124,150000,6320.0000000,6320.0000000,6300.0000000,6300.0000000,18
20180124,160000,6320.0000000,6320.0000000,6310.0000000,6310.0000000,8
20180124,170000,6310.0000000,6310.0000000,6280.0000000,6300.0000000,85
20180124,180000,6310.0000000,6320.0000000,6310.0000000,6320.0000000,34
