<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190410,120000,649.7000000,649.7000000,649.7000000,649.7000000,18
20190410,130000,649.6000000,650.1000000,649.3000000,650.1000000,2011
20190410,140000,650.1000000,650.1000000,650.1000000,650.1000000,66
20190410,150000,650.1000000,650.1000000,649.3000000,649.3000000,5568
20190410,160000,650.1000000,650.4000000,649.0000000,650.4000000,2681
20190410,170000,650.4000000,650.4000000,648.1000000,648.1000000,2785
20190410,180000,648.1000000,648.1000000,645.4000000,645.5000000,309
20190410,190000,645.5000000,645.8000000,645.4000000,645.5000000,46
20190411,110000,644.3000000,644.6000000,644.2000000,644.6000000,1123
20190411,120000,644.6000000,646.3000000,644.5000000,644.7000000,228
20190411,130000,644.7000000,644.7000000,644.7000000,644.7000000,381
20190411,140000,644.7000000,644.7000000,644.7000000,644.7000000,9267
20190411,150000,644.7000000,644.7000000,644.7000000,644.7000000,393
20190411,160000,644.7000000,644.8000000,644.7000000,644.8000000,1193
20190411,170000,644.8000000,646.4000000,644.8000000,644.8000000,293
20190411,180000,644.8000000,644.8000000,644.7000000,644.8000000,622
20190411,190000,644.8000000,647.5000000,644.7000000,646.9000000,623
20190412,110000,647.3000000,647.3000000,646.6000000,647.2000000,488
20190412,120000,647.0000000,647.3000000,646.6000000,647.2000000,7877
20190412,130000,647.5000000,647.5000000,644.5000000,644.5000000,875
20190412,140000,644.5000000,644.5000000,644.0000000,644.0000000,5488
20190412,150000,644.4000000,644.6000000,644.0000000,644.6000000,4345
20190412,160000,644.6000000,644.6000000,644.5000000,644.6000000,438
20190412,170000,644.6000000,645.5000000,644.5000000,644.6000000,1042
20190412,180000,644.6000000,644.6000000,644.5000000,644.6000000,268
20190412,190000,644.6000000,645.0000000,644.6000000,644.6000000,428
20190415,110000,645.8000000,647.4000000,645.2000000,645.7000000,1004
20190415,120000,645.4000000,645.8000000,645.2000000,645.8000000,160
20190415,130000,645.8000000,645.8000000,645.6000000,645.8000000,404
20190415,140000,645.8000000,645.8000000,645.2000000,645.7000000,5278
20190415,150000,645.3000000,645.7000000,645.2000000,645.7000000,1544
20190415,160000,645.7000000,647.4000000,645.4000000,645.8000000,753
20190415,170000,645.8000000,645.8000000,645.3000000,645.8000000,198
20190415,180000,645.3000000,645.8000000,645.2000000,645.8000000,798
20190415,190000,645.8000000,645.8000000,645.8000000,645.8000000,199
20190416,110000,647.5000000,648.6000000,645.0000000,645.2000000,1261
20190416,120000,645.2000000,645.2000000,645.1000000,645.1000000,24
20190416,130000,645.2000000,645.2000000,645.1000000,645.2000000,176
20190416,140000,645.2000000,645.2000000,645.1000000,645.2000000,438
20190416,150000,645.2000000,645.2000000,645.1000000,645.2000000,259
20190416,160000,645.2000000,645.2000000,645.2000000,645.2000000,217
20190416,170000,645.2000000,645.5000000,645.2000000,645.2000000,666
