<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,110000,2735.0000000,2738.0000000,2735.0000000,2738.0000000,9
20180103,120000,2735.0000000,2735.0000000,2728.0000000,2728.0000000,745
20180103,130000,2729.0000000,2730.0000000,2729.0000000,2730.0000000,22
20180103,140000,2730.0000000,2731.0000000,2729.0000000,2731.0000000,75
20180103,150000,2733.0000000,2740.0000000,2733.0000000,2740.0000000,41
20180103,160000,2731.0000000,2731.0000000,2731.0000000,2731.0000000,51
20180103,170000,2730.0000000,2730.0000000,2727.0000000,2728.0000000,37
20180103,180000,2723.0000000,2733.0000000,2722.0000000,2733.0000000,59
20180103,190000,2737.0000000,2738.0000000,2735.0000000,2738.0000000,10
20180104,110000,2740.0000000,2740.0000000,2733.0000000,2733.0000000,25
20180104,120000,2739.0000000,2769.0000000,2736.0000000,2736.0000000,41
20180104,130000,2736.0000000,2737.0000000,2731.0000000,2735.0000000,42
20180104,140000,2736.0000000,2760.0000000,2732.0000000,2732.0000000,134
20180104,150000,2738.0000000,2738.0000000,2738.0000000,2738.0000000,37
20180104,160000,2737.0000000,2737.0000000,2734.0000000,2734.0000000,75
20180104,170000,2733.0000000,2740.0000000,2733.0000000,2740.0000000,39
20180104,180000,2738.0000000,2741.0000000,2734.0000000,2734.0000000,38
20180104,190000,2740.0000000,2745.0000000,2740.0000000,2745.0000000,155
20180105,110000,2733.0000000,2740.0000000,2733.0000000,2740.0000000,6
20180105,120000,2742.0000000,2742.0000000,2740.0000000,2740.0000000,2
20180105,130000,2742.0000000,2742.0000000,2740.0000000,2740.0000000,43
20180105,140000,2749.0000000,2750.0000000,2741.0000000,2741.0000000,23
20180105,150000,2746.0000000,2758.0000000,2746.0000000,2746.0000000,56
20180105,160000,2747.0000000,2753.0000000,2747.0000000,2753.0000000,24
20180105,170000,2751.0000000,2751.0000000,2743.0000000,2747.0000000,56
20180105,180000,2741.0000000,2747.0000000,2740.0000000,2745.0000000,101
20180105,190000,2751.0000000,2751.0000000,2744.0000000,2744.0000000,11
20180109,110000,2756.0000000,2762.0000000,2756.0000000,2762.0000000,31
20180109,120000,2767.0000000,2781.0000000,2766.0000000,2771.0000000,177
20180109,130000,2770.0000000,2770.0000000,2762.0000000,2769.0000000,37
20180109,140000,2767.0000000,2767.0000000,2764.0000000,2764.0000000,15
20180109,150000,2762.0000000,2762.0000000,2741.0000000,2756.0000000,265
20180109,160000,2758.0000000,2766.0000000,2758.0000000,2762.0000000,60
20180109,170000,2760.0000000,2770.0000000,2760.0000000,2770.0000000,46
20180109,180000,2766.0000000,2770.0000000,2766.0000000,2770.0000000,11
20180109,190000,2769.0000000,2770.0000000,2766.0000000,2766.0000000,11
20180110,110000,2755.0000000,2759.0000000,2753.0000000,2759.0000000,33
20180110,120000,2757.0000000,2757.0000000,2754.0000000,2755.0000000,98
20180110,130000,2757.0000000,2761.0000000,2757.0000000,2761.0000000,21
20180110,140000,2756.0000000,2756.0000000,2755.0000000,2755.0000000,22
20180110,150000,2751.0000000,2757.0000000,2751.0000000,2753.0000000,38
20180110,160000,2752.0000000,2775.0000000,2751.0000000,2756.0000000,78
